Ref.,Titulo del clip,Stock ID,Licencia,Enlace de descarga
buyer_choosing,The buyer chooses olive oil in the supermarket,151138,Premium (Freepik/Magnific),https://videocdn.cdnpk.net/videos/d7fe033e-4263-4364-b2db-a0c9639c6496/horizontal/downloads/4k.mp4?filename=997677_Woman_Shopper_3840x2160.mp4&user_id=102901249&token=exp=1785247408~id=102901249~hmac=17e7efdce4f2ecb8cad4fb32e709238f093b800f3163ba790a3af502aa48612c
receipt_check,Person Checking Bill Or Receipt For Supermarket Shopping Basket Full Of Basic Food Items,687809,Premium (Freepik/Magnific),https://videocdn.cdnpk.net/videos/c0e0ccc3-d109-4fc6-93c2-916264ab153f/horizontal/downloads/original.mp4?filename=1739877_Food_Onion_3840x2160.mp4&user_id=102901249&token=exp=1785247409~id=102901249~hmac=a62446820de749891a4be379f1e282c55e6f50a3136df0e63bf1324bf3989dc2
shelf_oils,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,Premium (Freepik/Magnific),https://videocdn.cdnpk.net/videos/9d2ffeb7-7287-5c9b-935b-d24177ce8d24/horizontal/downloads/original.mp4?filename=0_Olive_Oil_Bottles_3840x2160.mp4&user_id=102901249&token=exp=1785247411~id=102901249~hmac=7406859d4f4fb59c859afee5fd760d0de5b1833e1c097295447b90dd95c6f508
premium_bottle,An Exquisite Representation of the Finest Olive Oil: A Harvest Reserve Bottle,6264187,Premium (Freepik/Magnific),https://videocdn.cdnpk.net/videos/cc5cebf9-db3d-5148-a5bd-c4cc26937c83/horizontal/downloads/original.mp4?filename=0_Olive_Oil_3840x2160.mp4&user_id=102901249&token=exp=1785247412~id=102901249~hmac=289e7ee4673fd321af220e73bdcccccdfb4e22baf6acb205201f197ac491fe26
magnifier_doc,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,Premium (Freepik/Magnific),https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785247413~id=102901249~hmac=c913cfa5e79bbaf55210677d944d072ffc06424bd9a3c2bd34da0e52a0ddea67
lab_pipette,Scientist using pipette 4k,1864061,Premium (Freepik/Magnific),https://videocdn.cdnpk.net/videos/e5b149c4-77de-4f5c-b4ee-d1e7380d585c/horizontal/downloads/4k.mp4?filename=5351876_Coll_wavebreak_Laboratory_3840x2160.mp4&user_id=102901249&token=exp=1785247415~id=102901249~hmac=f2690007e7bdb8ce9ab6032a3fda4ad17292d1ba382a5fd88b7d14a3c0db9dc3
aisle_dolly,A smooth out-of-focus camera movement travels down a brightly lit retail grocery store aisle,7917819,Premium (Freepik/Magnific),https://videocdn.cdnpk.net/videos/2ebb5ed4-724f-551f-a446-03916f39f076/horizontal/downloads/original.mp4?filename=0_Grocery_Store_Supermarket_3840x2160.mp4&user_id=102901249&token=exp=1785247416~id=102901249~hmac=1ac3b0a2f6782ca723fa2856892855bfdae73f10ed972d148307af0d7845b30d
bottles_row,Bottles of Cooking Oil,5177810,Premium (Freepik/Magnific),https://videocdn.cdnpk.net/videos/437a48d7-993f-58ca-90db-f41b2d5e5dfb/horizontal/downloads/original.mp4?filename=0_Bottles_Oil_3840x2160.mp4&user_id=102901249&token=exp=1785247418~id=102901249~hmac=aecb4f1c98f363ca0f998a4b4ee806b6a2601ae0e8e5ccfbbe59dc266e55a8e8
network_anim,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,Premium (Freepik/Magnific),https://videocdn.cdnpk.net/videos/20a5e384-1ab4-5472-b787-ad3d4aa8bab3/horizontal/downloads/original.mp4?filename=0_Avatar_Network_4096x2160.mp4&user_id=102901249&token=exp=1785247419~id=102901249~hmac=04fdfcdeaecbaac57f8505d72498852845227f4ce1435d2081c65f74f7dba94a
yellow_cap,Close-up of a Bottle with Yellow Cap,3811676,Premium (Freepik/Magnific),https://videocdn.cdnpk.net/videos/f49b1510-3928-5ba2-9d51-fecebd4195d1/horizontal/downloads/original.mp4?filename=0_Bottle_Plastic_Bottle_1920x1080.mp4&user_id=102901249&token=exp=1785247420~id=102901249~hmac=7d8ef336a750b2559c7150b739fa3c32161b8e4ec383257dc490ba48800e835a
